2018,2016,High School Name,County,Grate 12 Enrollment,Student to faculty ratio,# of AP/B subjects offered,% students grades 11-12 taking at least one AP IB course,Total AP/IB tests takenas as a % of total 11-12 graders,% students grades 9-12 taking at least one arts course,% students scoring at or above 530 for math SAT,% students scoring at or above 480 for reading & writing SAT,% students taking one or more exam who scored at least one AP 3+ or IB 4+,4 year adjusted cohort graduation rate,% students enrolled in college 16 months after HS
1,65,McNair Academic (Jersey City),Hudson,175,12,28,100,285.67,66,97,100,100,100,89
2,10,Glen Rock,Bergen,164,9,25,65,141.05,81,87,93,54.6,99.4,88.5
3,4,Millburn,Essex,355,12,32,68.1,169.48,74,91,98,66.9,98.1,84
4,1,Chatham,Morris,324,12,31,96.2,182.34,63,84,96,75.3,99.1,86.5
5,46,Ramapo,Bergen,300,10,27,68,128.69,59,86,96,46.1,98.3,91.2
6,5,Haddonfield Memorial,Camden,206,9,24,70.6,113.43,61,86,96,50.3,98.1,87.3
7,41,West Morris Mendham IB,Morris,355,12,49,100,173.91,59,84,97,71.1,97.3,87.1
8,6,Livingston,Essex,445,11,33,75.1,166.85,60,84,93,64.6,95.9,90.3
9,13,New Providence,Union,169,10,28,58.5,106.15,67,82,96,42.8,97.2,93.3
10,14,Ridge (Basking Ridge),Somerset,484,13,29,71.5,182.26,59,89,98,62.5,98,87.1
11,12,Montgomery,Somerset,399,13,27,73.4,166.75,58,94,97,61.6,97.6,90
12,17,Mountain Lakes,Morris,185,11,29,89.1,162.46,50,82,95,59.7,95.4,92.8
13,2,West Windsor-Plainsboro  North,Mercer,331,12,34,74.1,175.89,46,92,96,73.8,94.1,90.2
14,40,West Morris Central (Chester)  IB,Morris,338,13,45,90,150.86,60,79,94,56.1,96.8,93.4
15,83,Northern Valley Regional  (Demarest),Bergen,231,10,29,64.9,119.75,44,84,93,47.8,99.2,89.2
16,31,Hopewell Valley Central (Pennington),Mercer,320,11,26,60.7,106.81,53,87,97,45.1,97.6,88.8
17,9,West Windsor-Plainsboro South,Mercer,408,13,34,62.3,166.38,48,88,95,66.8,96.7,91.6
18,48,Montville,Morris,289,10,26,59.4,122.87,63,82,91,40.6,99,89.7
19,28,Bernards,Somerset,195,12,27,70.8,174.87,65,74,96,54.2,97.1,87.6
20,15,Princeton,Mercer,382,12,31,65.2,211.11,42,91,97,80.4,97.4,81.4
21,57,Hunterdon Central Regional (Flemington),Hunterdon,703,12,35,61.2,111.81,65,82,95,45.9,96.1,88
22,22,Moorestown,Burlington,337,11,28,77.1,101.38,59,80,92,45.3,99.4,88.9
23,29,Glen Ridge,Essex,142,11,24,76.7,173.21,59,80,91,60.1,97.9,87
24,94,Verona,Essex,152,12,23,95,208.33,78,77,92,66.5,96.8,85.5
25,122,Elizabeth,Union,200,17,21,100,377.51,82,80,90,63.6,99,89.7
26,32,Madison,Morris,197,13,27,58.4,138.85,66,77,94,51.9,97,91.9
27,23,Northern Highlands Regional  (Allendale),Bergen,348,12,29,70.2,118.31,46,84,95,56.1,98.9,87.1
28,49,Tenafly,Bergen,280,11,26,55.3,132.33,35,96,98,55.1,98.6,80.7
29,18,Summit,Union,326,11,31,76.2,178.06,75,75,88,70.5,96.2,84.6
30,19,Governor Livingston (Berkeley Heights),Union,271,11,26,58.7,136.87,63,78,93,45.1,96.8,88.3
31,54,Cranford,Union,299,12,30,83.6,158.97,65,72,93,60.7,95.2,89.9
32,16,Randolph,Morris,367,11,28,62.9,101.37,57,77,93,41.4,99.2,90.7
33,21,Ramsey,Bergen,212,9,22,57.5,100,58,80,95,45.4,95.9,85.9
34,39,North Hunterdon (Clinton),Hunterdon,384,13,28,68.3,139.18,51,82,95,50.9,97.3,90.1
35,30,Rumson-Fair Haven Regional,Monmouth,252,12,24,78.5,148.03,48,80,95,61.7,96.6,89.4
36,33,Ridgewood,Bergen,417,13,28,55.5,114.25,60,93,95,43.4,97.4,85.5
37,8,Westfield,Union,420,12,21,50.8,83.64,64,89,96,41.2,98.1,89.7
38,27,Indian Hills (Oakland),Bergen,290,10,25,51.6,79.32,60,82,97,36.6,96.4,84.8
39,89,Red Bank RegionalIB,Monmouth,280,11,31,75.3,142.56,49,73,92,53,96.4,88.4
40,26,Cresskill,Bergen,123,9,23,54.8,108.89,70,71,91,48.2,96.8,85.5
41,43,Mahwah,Bergen,244,10,24,50.5,110.54,57,83,92,45,96.9,83.3
42,25,East Brunswick,Middlesex,682,12,28,41.9,100.45,77,84,92,38.7,96.9,88.6
