Rank,Municipality,County,pop 2017,Average residential tax bill 2018,Average change in residental tax bill since 2016,Effective property tax rate 2018,3-year average debt per capita,Median home price 2018,Change in median home price since 2016,Average days on market 2018,Crime rate per 1000 residents 2016,Violent crime rate per 1000 residents 2016,NJM Top High Schools rank 2018
1,Madison,Morris,"16,033","$13,091 ",3.80%,1.687,"$255,594 ","$700,000 ",12.00%,45,6.1,0.2,26
2,Summit,Union,"22,323","$17,919 ",2.00%,1.858,"$326,981 ","$987,583 ",21.70%,45,8.7,0.5,29
3,Bedminster,Somerset,"8,210","$6,182 ",0.70%,1.327,"$307,396 ","$314,000 ",-8.10%,52,4,0,19
4,Bernards,Somerset,"27,061","$12,557 ",1.80%,1.939,"$265,133 ","$599,950 ",2.60%,51,3.5,0,10
5,Chatham Township,Morris,"10,435","$14,740 ",7.20%,1.634,"$338,689 ","$960,000 ",12.00%,46,4.3,0.3,4
6,Harding,Morris,"3,873","$13,946 ",1.60%,1.019,"$574,451 ","$1,246,250 ",33.30%,95,7.4,0,26
7,Woodcliff Lake,Bergen,"5,903","$15,598 ",0.20%,2.075,"$331,741 ","$762,500 ",23.90%,54,4.1,0.5,56
8,Chatham Borough,Morris,"8,928","$13,758 ",6.60%,1.692,"$285,389 ","$777,000 ",13.00%,48,5.1,0.3,4
9,Mountainside,Union,"6,982","$12,325 ",2.40%,1.996,"$255,317 ","$601,500 ",1.10%,53,6,0,30
10,Closter,Bergen,"8,766","$15,565 ",2.90%,2.224,"$246,836 ","$805,000 ",26.60%,71,4.2,0.2,15
11,Mahwah,Bergen,"26,759","$8,655 ",4.50%,1.697,"$225,708 ","$440,000 ",12.80%,58,5.9,0.2,41
12,Fairfield,Essex,"7,614","$9,839 ",0.20%,1.955,"$387,998 ","$515,000 ",17.00%,56,23.4,0.7,58
13,Avon-by-the-Sea,Monmouth,"1,794","$9,826 ",1.80%,1.055,"$559,778 ","$872,500 ",16.30%,74,16.7,0,92
14,Roseland,Essex,"5,937","$10,492 ",1.90%,2.143,"$302,665 ","$545,000 ",4.00%,52,7.3,0.2,58
15,Lebanon Borough,Hunterdon,"1,669","$6,191 ",0.30%,2.26,"$169,087 ","$284,000 ",12.70%,66,6,0,34
