Town,School Rating,Town Rating
Allendale,27,72
Cliffside Park,284,239
Cresskill,40,
Demarest,15,162
Dumont,94,145
Edgewater,,108
Fair Lawn,89,181
Fort Lee,75,175
Glen Rock,2,61
Hackensack,259,443
Hillsdale,78,81
Ho-Ho-Kus,,58
Leonia,62,113
Lodi,258,200
Mahwah,41,11
Oakland,38,111
Oradell,74,100
Palisades Park,185,163
Paramus,67,158
Ramapo,5,   
Ramsey,33,92
Ridgewood,36,48
River Edge,,62
Saddle Brook,227,176
Saddle River,,78
Teaneck,186,325
Tenafly,28,96
Waldwick,121,156
Wood Ridge,160,157
Woodcliff Lake,,7
